Type,Network size,Connectance,Sp (plant),Sa (animal),Ratio Sa/Sp,
plant-pollinator ,19,0.29 ,5,14,2.80 ,
plant-pollinator ,20,0.29 ,6,14,2.33 ,
plant-pollinator ,22,0.25 ,10,12,1.20 ,
plant-pollinator ,22,0.32 ,5,17,3.40 ,
plant-pollinator ,22,0.25 ,8,14,1.75 ,
plant-pollinator ,22,0.29 ,14,8,0.57 ,
plant-pollinator ,24,0.27 ,18,6,0.33 ,
plant-pollinator ,26,0.42 ,13,13,1.00 ,
plant-pollinator ,26,0.42 ,21,5,0.24 ,
plant-pollinator ,27,0.29 ,14,13,0.93 ,
plant-pollinator ,28,0.24 ,6,22,3.67 ,
plant-pollinator ,29,0.19 ,11,18,1.64 ,
plant-pollinator ,30,0.17 ,12,18,1.50 ,
plant-pollinator ,30,0.21 ,11,19,1.73 ,
plant-pollinator ,31,0.18 ,18,13,0.72 ,
plant-pollinator ,33,0.21 ,10,23,2.30 ,
plant-pollinator ,34,0.15 ,14,20,1.43 ,
plant-pollinator ,34,0.19 ,12,22,1.83 ,
plant-pollinator ,34,0.17 ,25,9,0.36 ,
plant-pollinator ,35,0.21 ,11,24,2.18 ,
plant-pollinator ,35,0.23 ,9,26,2.89 ,
plant-pollinator ,36,0.47 ,31,5,0.16 ,
plant-pollinator ,36,0.33 ,31,5,0.16 ,
plant-pollinator ,36,0.31 ,23,13,0.57 ,
plant-pollinator ,37,0.21 ,11,26,2.36 ,
plant-pollinator ,38,0.22 ,7,31,4.43 ,
plant-pollinator ,39,0.15 ,14,25,1.79 ,
plant-pollinator ,39,0.33 ,23,16,0.70 ,
plant-pollinator ,39,0.16 ,28,11,0.39 ,
plant-pollinator ,40,0.28 ,7,33,4.71 ,
plant-pollinator ,40,0.28 ,31,9,0.29 ,
plant-pollinator ,43,0.15 ,17,26,1.53 ,
plant-pollinator ,43,0.25 ,29,14,0.48 ,
plant-pollinator ,44,0.21 ,29,15,0.52 ,
plant-pollinator ,47,0.32 ,13,34,2.62 ,
plant-pollinator ,47,0.14 ,19,28,1.47 ,
plant-pollinator ,48,0.24 ,11,37,3.36 ,
plant-pollinator ,48,0.13 ,20,28,1.40 ,
plant-pollinator ,49,0.25 ,11,38,3.45 ,
plant-pollinator ,49,0.18 ,14,35,2.50 ,
plant-pollinator ,50,0.18 ,10,40,4.00 ,
plant-pollinator ,50,0.24 ,8,42,5.25 ,
plant-pollinator ,50,0.22 ,11,39,3.55 ,
plant-pollinator ,50,0.24 ,12,38,3.17 ,
plant-pollinator ,51,0.25 ,14,37,2.64 ,
plant-pollinator ,52,0.15 ,16,36,2.25 ,
plant-pollinator ,52,0.17 ,17,35,2.06 ,
plant-pollinator ,52,0.25 ,44,8,0.18 ,
plant-pollinator ,54,0.16 ,15,39,2.60 ,
plant-pollinator ,54,0.19 ,42,12,0.29 ,
plant-pollinator ,56,0.17 ,17,39,2.29 ,
plant-pollinator ,57,0.25 ,13,44,3.38 ,
plant-pollinator ,58,0.22 ,13,45,3.46 ,
plant-pollinator ,58,0.11 ,18,40,2.22 ,
plant-pollinator ,59,0.21 ,50,9,0.18 ,
plant-pollinator ,59,0.40 ,16,44,2.75 ,
